target_deathrate,incidencerate,medincome,pcths25_over,pctbachdeg25_over,pctpubliccoverage,pctpubliccoveragealone,povertypercent
198.4,456.6,40012,50.2,8.5,39.4,23.3,16.1
240.8,507,29839,41,5.4,50.9,31.3,28.1
155.9,444.5,43835,29.9,20.6,23.3,12.4,22.5
190.7,434.6,36351,49.4,8.7,45.2,23.7,19.3
209.7,425.4,44446,41.2,11.1,38.4,17.3,13
199.8,455.5,36375,48,8.2,44.1,23.5,19.6
184.4,500.9,40195,34.5,18.7,36.2,16.8,18.4
139.8,381.8,38204,46,7.3,45.3,24.1,16.7
213.3,458.9,44801,50.1,7.3,36.8,17.7,16.5
176.8,384.8,34341,47.4,10,44.9,23,17.6
169.8,435.3,41420,46.4,9,39.3,21.1,17.6
171.5,497.2,59472,37.8,14.8,31.2,15.8,10
198.2,469.6,40270,39.5,12,44.6,24,17.7
168.6,405.2,37468,46.3,10.6,43.3,23.4,20.8
214.7,502,46383,47.9,6.3,46.9,24.3,17.7
204,449.2,33041,46.5,8.2,51.8,32.6,23.1
170.4,377.1,32456,40.5,7.6,49.6,24.7,25.8
172.2,400.9,40305,43.6,11.7,42.6,20.6,16.8
168.1,528.4,36466,52.7,7.1,39.3,17.9,17.1
199.1,468.3,41019,49.2,7.2,43,19.8,15.8
189.5,453.7,38387,48.4,9.3,40.2,23.3,19.7
183.8,433.2,37242,40.9,7.5,45.6,27.1,20
259.5,511.9,29331,43,5.3,53.3,35.4,26.1
202.6,514.6,40013,48.7,6,44.6,21.3,18.5
185.8,455.3,38600,47.6,7.8,41.4,23.5,20.3
185.5,488.8,41932,38.1,12.2,42,22.7,17.2
235.4,447.8,34419,46,4.5,49.9,28.7,22.8
206,467.9,42063,43.7,8.5,50.8,22.6,17.8
217.5,451.5,41294,35,14.6,42.5,23.9,14.9
168.4,412.1,46375,39.8,10.6,39.2,19,13.7
171.7,369.9,44395,30.2,18.9,44.1,21,13.6
158.6,479.1,54141,31.3,20,30,17.2,12
166.4,385.7,50998,42.5,12.4,34.5,16,10.5
190.1,399.2,41810,40,11.9,48.2,23.7,16.5
157.9,474.1,68430,33.8,20.6,22.4,10.6,5.9
160.1,482.4,52485,38.5,13.5,33.9,15.7,10.7
157.6,455.2,45316,43.3,8.4,34,17.6,16
176.6,476.1,59020,34.9,15.8,29.4,12.9,8.8
176.4,466.4,43562,42.7,10.1,41,20.3,14.7
153.8,430.7,61937,19,28.3,22.6,10.2,13.4
178.9,437.3,54359,40.2,11.5,30.3,13.9,9.9
158.7,449.3,49717,32.9,19.7,39.5,15.5,11
192.8,354.7,46475,33.2,15.4,37.9,20.6,13.9
155.6,396.1,52224,34.6,16.2,32.3,16.8,13.9
163.4,440.9,48102,26.9,19.9,29.4,14.6,14.4
171.9,308.2,44562,39.2,12,41.8,17.6,12.8
159.4,477,52149,38.5,14.8,30.6,14.4,9.9
166.4,490.6,41418,40.7,8.8,43.9,20.4,17
166.9,428.2,46972,38.7,13.1,30.4,13.9,15
158.4,420,53328,39,14.8,30.2,13.8,8.7
152.3,447.2,61802,29.5,18,24.3,9,8.2
169.9,356.1,40351,31.1,17.2,38.3,17.8,16
187.4,400.6,43883,42.3,10,35.3,14.8,12.1
138.2,221.5,55955,35,14.2,28,12.4,9.2
120.2,432.5,49517,37,14.8,36.1,16.8,10.7
215,453.6,41344,35.5,9.2,39.1,28.4,34
156.3,350.1,44726,42.6,14.5,38.3,16.9,12.3
159.2,431.4,69191,31.1,22.6,22.9,8.3,7.4
142.1,392,53290,20.5,25.8,22.2,9.1,13.6
162.7,495.5,40979,36.1,12.9,38.3,17.7,12.7
164.7,389.2,51335,32.6,19,28.9,11.6,10.6
211,453.5494221,46840,35,10.9,37,17.3,13.2
167.7,453.5494221,51241,28.8,15.1,27.3,16,15.6
145.2,453.5494221,60322,24.7,16.4,35.8,12.9,10.3
143.2,453.5494221,72648,26.8,12.3,18.5,10,10.8
262.1,453.5494221,47180,43.2,12.6,37.1,16.5,14
178.7,453.5494221,70535,35.8,14.2,18.6,2.6,9.8
191.5,453.5494221,67423,37.4,8.8,20.6,11.6,10.7
123.8,453.5494221,74347,37.5,4.7,24.4,11.3,11
127.4,453.5494221,45629,32.1,15.9,31.5,15.5,15.1
195.7,453.5494221,48576,30.2,11.1,37.5,19.1,13.7
254.3,453.5494221,40714,31.2,6.8,43.2,21.6,19
213.5,453.5494221,42881,35.6,9.2,48.2,25,16.8
121.8,453.5494221,52001,35.4,7.5,34.7,19.1,18.5
132.6,453.5494221,55291,29.5,14.1,34.1,13.2,8.4
166,453.5494221,52862,24,18.2,28.1,15.6,15.4
188.4,453.5494221,57243,34.5,8.8,31.9,13.7,13.7
193.5,453.5494221,45639,28.6,12.8,35.6,18.7,19.3
182.6,508.6,59831,31.5,19.1,33.9,16.8,10
168.8,481.8,57556,31.4,20,36.4,13.4,10.7
162.8,489.4,56008,33.8,19.4,28.7,12.7,11.8
181.6,459.2,42491,39.1,11.7,43.5,22.5,14.9
155,435.5,56353,28.6,20.2,29.4,14,11.6
163.2,482.2,71233,27.2,23,25.2,12.7,8.7
173.1,507.6,62429,28.4,21.5,28.3,13.1,9.5
172.2,518.8,79653,26.9,24.6,22.3,9,6.1
177.6,502.6,58577,28,21.1,26.2,12.4,11.8
171.9,475.7,57142,37,16.4,33.3,15.6,10.4
179.5,505.5,54208,32.9,17,33.4,17.7,15.1
147.3,468.1,84309,24.3,29.5,23.3,11.8,7.6
171.6,531.8,80479,29.5,23.3,25.7,10.6,7.2
182.8,530.9,61685,31.3,19.4,31.9,18.6,13
193.1,559.1,55409,34.1,19.5,38.2,16.8,13
189.6,511.3,45438,39.4,10.5,38.4,24,19.5
161.8,450.6,54603,28.7,19.8,31.7,21.1,16.7
193.5,544.2,78983,34.3,19.9,26.2,12.8,8.2
152.6,399.5,57720,26.1,23.8,29.6,21.3,17.7
145.1,496.3,103876,22.7,29.3,20.5,7.1,4.7
160.3,504.7,73750,25.6,20.7,27.4,14.5,11.8
156.7,466.7,77330,26.3,24.5,23,12.1,8.3
168.6,529.6,87220,25.6,26.1,24.2,10.7,8.2
150.3,488.5,100511,22.5,29.8,19.8,7.5,5
174.2,524.9,62937,36.1,18,38.5,19,11.9
159.1,448.4,58030,34.8,17.1,35.3,25,18.2
194.8,516.6,56645,38.6,14.3,35.2,18.7,13.1
153.3,471,100194,21.9,29.2,19.2,8.6,5
176.4,493.1,82048,31,23.2,22.2,9.8,6.2
155.6,463,68172,29.7,19.7,27.5,17.1,11.1
175.1,485.9,71294,34,19.7,26.3,12.4,8.3
147.1,404.1,47192,23.8,17.9,37.7,24.1,18.7
164.7,375.5,33256,36.3,14.8,44.3,13.1,22.2
164.5,375.8,38403,27,11.9,44.9,29.4,23.4
146.5,375.5,35081,36.5,8.4,50.4,35.7,28.8
139.9,377.4,37156,33.9,14.9,50,26.1,20.5
143.8,336.5,42620,25.2,12.6,38.7,24.1,19.2
243.6,467.1,33789,42.9,6.8,49.3,30.4,20.6
150.8,381,38974,22,16.2,43.5,29.9,27.9
170.8,391.3,57007,34,10.7,34.9,21.3,14.1
159.4,366.5,38221,26.9,12.8,52.6,30.3,19.1
142.8,361.2,29147,40.2,7.8,50.5,20.2,25.8
166.3,357,34304,31,9.3,51.9,35,24.5
166.2,357.1,58994,30.5,8.1,33.4,22.1,16.6
123.4,363.9,39995,26.6,19.5,51.7,27.8,20.1
114.5,406.2,108477,10.8,24.9,21.2,4.2,4.2
181.8,420.6,27268,31.6,6.9,55.1,37.9,30.6
137.7,332.9,29497,33.1,6.7,47.9,37.6,35.8
134.3,359,27627,35.6,6.8,62.7,46.6,24.2
161.1,393,41736,29.5,9,47.2,27.5,20.2
190.6,412.7,29069,38.8,9.1,51.2,25.9,23.9
155.5,351.8,34902,31.8,10.6,42.5,26.6,24.1
163.5,360.7,36108,25.3,12.8,40,25.2,24
135.7,395.4,56142,25.9,16.6,35.9,21.1,12.6
136.7,356.1,47520,32.1,9.1,37.1,24.4,21
158.2,355.6,32964,28.4,10.5,48.1,30.2,25.5
126.1,374.3,52628,21.4,20.4,35.9,19.7,14.2
190.3,424.2,29036,33.7,12.3,57.6,27.8,23.8
167.8,404.4,32285,33.4,10.6,47.1,29,31
135.2,339,36125,25.4,16.9,50.3,29.3,19.2
164.3,558.5,37311,34.2,10.4,52.1,36.8,27.6
151.6,303,36684,35.3,11,44.4,28.1,19.4
163.1,402.3,40591,31.9,10.8,46.1,29.7,24.5
176.1,505.9,60371,26.5,20.1,30.1,14.2,13.5
177.2,490.7,42655,38.7,9.8,38.7,20.2,18.3
162,455.3,33687,27.3,12.3,52,38.2,31.5
163.6,494.4,46283,32.2,15,38.9,21.2,17.2
167.9,517.8,43892,40.9,10.3,39.8,18.7,16.2
158.6,470.8,52792,34.1,12.5,36.2,17.9,12.7
173.2,550.1,41757,35.5,11.3,41,22.4,19.3
183.8,508.2,48880,35.6,12.8,39,21.4,18.2
180.3,512.4,46387,39.2,9.5,40.7,20.8,16.7
194.2,437.1,34842,34.1,7.3,42.9,22.2,20.5
111.3,327,38636,38.6,14.6,39.3,9.7,14.6
200.6,460.2,64350,27.7,17.3,29.2,12.6,10.2
149,423,75926,21.1,26.5,30.5,10.7,7.9
180.3,383.4,46331,41.1,12.5,31.9,16.7,14.8
195.7,491.5,76206,30.3,19,20.9,7.9,7.5
187.4,514.8,64305,39.4,12.5,25.5,13.5,8.8
190.6,446.8,45827,32.8,15.3,42.9,15.5,13.7
224.2,330.5,31429,33.6,7.6,48.8,26.3,26.6
136.5,364.9,122641,13.8,34.8,11.8,4.6,3.9
191,456.9,60121,37,13,30.2,14.3,11.5
189.8,404.1,37548,34.9,8.1,41.3,22.6,22.4
169.8,463.3,52513,36.4,14.4,33.5,16.8,12.3
157.1,444.9,58268,33.3,16.2,33.6,10.6,10.6
213.7,445.1,38500,32.5,9.8,41.1,20.2,21.1
206.9,525.6,48921,32.5,15.3,39.2,12.3,14.4
153.3,396.2,43484,21.8,23.2,19.9,8.7,24.8
194.3,526.7,48076,33.6,14.4,36,15.2,13.4
201.4,454.3,72406,33,16.7,21.7,8.7,6.2
227.1,527.2,36822,34.2,14,41.3,20.6,21.5
190.5,450.4,51422,31.1,16.1,43.4,13.5,14.3
201.5,508,37996,37.1,10.5,44.1,24.5,24.3
177.3,503.5,59282,34.7,15.2,33.9,15.7,10.7
199.2,430.1,44851,42.9,8.1,35.7,18.1,16.9
178.3,339.1,34885,36,8,43.9,22.3,21.9
176.8,399,44207,35.3,9.4,36.2,18.6,14.6
175.1,459.6,75539,28.6,19.3,22.7,7.2,7.1
188.8,410.4,37543,34.6,12.4,30.4,16,25.5
172.1,437,61792,33.4,14,25.2,9,10.5
150.1,373.7,91886,21.7,23.2,17.1,8.6,7.2
185.8,390.6,46186,34.2,11.4,35.5,16.7,14.7
149.6,401.1,62800,25.6,19.9,31.5,13.1,9.3
176.2,452.4,42204,40.2,8.8,35.6,17.9,19.7
155.9,400.5,61935,26.4,22.7,29.1,12.8,8.2
159.2,338,48497,36.3,13.8,35,15.6,13
156.1,400.2,55798,35.5,14.4,27.2,13,11.7
212,365.4,37378,36.7,8,43.2,23.5,17.9
196.1,330.8,36290,36.2,8.1,42.7,20.7,20.8
171.4,407.6,45430,39.5,12.2,33.4,15.9,12
202.4,389.1,37831,38.8,9.2,41.4,24.3,19.7
181.8,405.7,46521,34.8,10.1,33.3,16.7,15.3
172.5,449.4,75714,31.7,17.9,21.9,9.4,9.2
175.6,450.5,92647,23.7,22.2,18.4,7,5.9
182.2,426.5,48707,29.2,15.4,31.4,17.1,12.9
208.4,486.9,37748,40.3,5.5,44.2,23.7,23.9
208.1,376.4,38292,35.8,8.5,41.7,23.6,19.2
202.5,428.2,60714,36.6,13.9,25.6,11.7,11.3
176.7,420.8,43353,32.9,14.4,37.7,17.7,14.5
179.9,450.9,48232,36.3,11.5,38,16.8,15
223.4,367.3,38528,32.4,9,42.3,22.9,21.9
175.9,433.5,41132,36.4,9.8,35.3,18.4,15.6
152.3,389.3,81169,19.6,22.8,20.9,6.2,5.5
135.4,317.6,86419,12.1,29.8,17.6,8.6,9.6
226.6,265.7,34099,32.8,16.1,42,24.4,21.8
240.8,578.2,38331,40.5,11,34.7,21.2,17.2
178.2,718.9,45890,22.2,23.3,20.3,11.9,25.9
182.2,458.3,66625,26.5,18.8,24.9,12.4,9.8
159.3,493.6,52355,35.2,13.7,32.2,12.5,11.5
207.4,539,33646,28.1,11.3,46.1,25.5,23.6
137.6,447.7,125635,7.5,34.4,13.5,2.7,3.2
221.7,468,38583,24.9,16.1,40.5,22.3,22.5
180.3,566.3,51195,26.9,21.2,24.4,13.6,16.8
190.3,491.9,47615,27.3,14.9,31.6,16.4,15.2
150.5,591.1,38541,26.5,20.6,18.2,10.4,28.3
244.9,547.6,40122,38.3,8.1,38.8,21.9,19.5
194.5,495,40065,25.1,19.9,30.4,16.3,25
155.2,364.1,72510,26,17.6,19.3,10.8,9.8
191.9,457.2,48440,28.2,15,29.7,16.5,16.7
193.6,480.5,42567,26.9,15.6,30.4,18.7,23.4
197.3,461,31620,19.4,14.3,42.5,24.2,21.6
224.4,651.3,32749,34,9.2,43.3,26.3,25.8
159.2,441.3,84213,27,22.4,21.8,6.5,5.9
218.1,473.2,43045,28.9,13.3,35.8,22,18.3
193.1,463.1,34267,22.6,20.7,22.8,13.2,32.4
200.2,475.4,42074,23,21.9,33,20.6,25
201.2,512.4,40735,30.4,14.8,36.4,22,20.4
186.6,511.5,54195,29.8,17.1,27.2,13.3,10.2
176.1,537.9,42552,30.9,18.8,35.1,16.1,16.5
199.3,472,60735,28.3,16.4,28.9,15.1,13.6
168.1,435.6,67676,22.4,22.2,22.1,9.2,8.6
210.5,596.9,44843,38.5,11.7,37,20.1,14.6
162.1,1014.2,46954,15.5,27.1,22,8.9,20.1
192.8,401.9,44537,30.4,15.3,29,15,13.4
135.7,340.3,47423,25.9,9.1,40,30.5,19
188.3,371.3,44055,30.5,12.9,43.3,21.2,16.3
163.9,452.4,58750,24.4,18.3,33.8,19.1,14.6
154.7,451.5,49174,30.1,15.2,38,16.8,14
181.3,480.2,47185,27.9,14.8,45.6,21,16.2
178.2,427.4,61747,25.3,17.8,32.2,17.3,9.9
194.4,476.2,45465,27.5,16.3,50.6,26.2,15.5
184.1,455.5,44235,30.9,9.8,42.9,24,20.6
157.4,449.9,51151,27.7,12.8,40.7,26,15.5
161.1,358.2,39992,31.2,11.5,52,28.4,22.4
163.5,420.9,55006,27.3,10.5,36.3,26.1,17.3
115,293.6,46404,29.4,19.6,44.9,21.6,14.2
173.1,417.9,50388,26.8,10.7,41.2,29.2,15.8
194.6,518.4,43205,32.1,9.9,42.7,24.2,19.6
143.5,462,59358,23.3,20.6,36.5,14.1,10.3
154.9,480.9,50964,23.2,21.5,49,20.7,14.1
152.7,464.2,75738,16.5,29.6,23.9,12.7,11.3
170.7,414.6,38989,37.8,11.8,40.2,20.2,19.9
203.8,464.3,34655,39.3,7.7,51.1,25.8,24.5
149.1,345.3,60650,27.9,19.1,28,11.3,10
178.6,416.1,41101,35.4,11.1,47.6,21.6,16.5
178.5,393.1,43338,35.3,13.6,42.3,18.8,14.8
172.2,358.9,45174,39.9,15,39.8,17.4,14.4
178.6,413.5,57088,29.7,16.1,32.3,13.6,9.8
168,489.1,50191,26.2,20.2,35.5,16.2,11.6
192.1,514.3,41787,32.8,12.1,43.9,25.3,21.5
196.5,475.7,39721,40.2,7.6,49.8,21.6,18.5
195.2,324.9,33600,38.4,12.3,47,21.8,20.9
151.8,521.2,55592,26.9,18.9,33.7,15.1,9.7
168.3,447.1,43509,41.1,8.6,38.7,19.5,18.5
187.5,396.3,44780,40.2,9.6,38.1,18.9,16.6
155.4,373.8,39126,33.8,19.2,33.2,16.7,18.7
181.6,448.5,41678,44.3,9.5,42,17.8,14.1
165.5,514.9,45840,21.6,20.4,31.3,16.7,20.1
173,417.8,48681,38.1,10.6,36.1,19.5,15.2
193.4,406.2,37122,40,10,53.2,23.4,19
167.6,344.3,35961,45,13.6,49.2,19.7,17.3
180.1,446.7,42431,31.8,15.5,27.1,14.2,28.3
193.8,473.5,46670,34.8,13.7,38.8,19.9,15.4
171,464.2,46283,23.1,21,31,15.6,18.9
200.7,469.6,40709,42.4,8.2,45,22.1,17.4
160.2,473.3,53342,25.5,21.8,29.7,16.4,15.3
113.5,337.6,40411,32.6,13.5,50.8,20.6,12.7
213.1,395.3,30990,41.5,5.6,57.9,30.8,29.2
186.7,484.6,51510,37.1,11.2,33.3,14,11.1
132.5,372.9,60622,22.4,22.3,38.4,13.9,8.9
177.6,425.8,48194,36.7,12.7,36.3,17.5,14.5
162.7,433.5,74341,25.6,22.2,24.4,9.2,6.1
175.3,366,37590,45,8.6,50.6,26.2,20.6
160.3,422.5,39359,36.5,11.9,44,19.2,15.4
177.8,506.5,54865,30.6,15.2,31.9,15,12.3
180,494.9,37477,37.3,12.3,45.4,20.4,16.6
168.7,430.4,44735,33.1,19.1,32.7,13.9,15.4
190.2,350.2,42896,34.4,12.6,43.5,21,16.3
177.2,448.5,41572,34.4,13.6,37.2,18.5,23
185,310.1,42191,42.2,11.3,41.3,20.1,14.5
154.4,438.7,51629,29.6,19.4,31.9,13.4,11.9
190.2,417.3,40455,42.8,8.8,43.5,23.7,16.1
182.8,371,57719,36.2,12.2,31.1,14,10.4
184.5,475.3,41554,39,8.7,40.1,20.5,20.4
207.6,484.4,37961,41.9,6.8,53.1,21,15.7
189.2,499,42588,34.8,12.6,41.4,24.2,20
197,393.2,41588,41.1,9.3,43.5,23.9,21
159.6,495.7,69378,20.1,25.4,26.4,11.3,10
153.3,370.2,41166,34.7,10.6,44.2,23.3,20.1
177,402.9,35968,40.9,7.5,51,24.2,21.4
171.1,396,35387,40.6,10.8,49.4,18.7,17.8
193.7,541.3,40235,44.7,8.7,43.7,22.4,20.4
199.5,404.3,33975,40.6,6.7,49.7,20.6,20.5
194.7,457,44693,36.6,13.5,39.2,19,13.2
142.2,404.1,60577,28.9,20.9,25.6,11.9,9.1
171.8,414.7,39420,40.6,10.6,45.7,16.4,16.1
201.8,496.9,35002,38.9,9.1,56,22.8,20.7
175.3,475.4,44548,34.2,13.6,41.3,21.1,17.4
189.5,488,50303,35.3,11,36.1,17,13.8
178.9,404.4,43687,38.9,9,37.9,20.3,18.5
170.6,368.5,42081,45.1,7.8,40,20.2,14.7
213.7,439.1,39539,46.8,9.3,49.7,24.8,17.6
184.9,505,47882,36.6,10.3,35.2,16.3,15.3
181.9,459,43186,42,9.4,40.5,18.8,15.6
188.2,431.5,46715,34,12.6,39.8,22.1,16.5
157,463.9,62861,15.7,25.4,23.4,10.2,14.3
197.9,528.7,41434,30.3,13.4,42,26,24.1
199.2,528.4,39807,38.8,11.4,42.5,21.7,19
164.1,453.5494221,40676,39.9,10.8,51.5,22.3,14.9
167.9,453.5494221,70868,28.4,20,25.7,12.9,7.6
189.3,453.5494221,51116,33.5,15.6,38.4,20,14.6
162.6,453.5494221,43706,26.1,17.4,40.5,26.1,18.5
155.3,453.5494221,52531,32.1,15.2,32.2,18,13.6
182.1,532.7,51576,35.3,11.9,37.4,18.2,16.6
171.5,472.2,55047,30.7,14.4,36.9,17.5,11.6
181.4,522,48357,34.7,13.4,31.6,15.4,13.8
160.7,461,45860,38.7,11.5,42.4,20.7,14.4
164.8,486.7,70925,27,18.3,29.3,13.9,10.2
183.3,544.1,50134,28.4,17.3,36.6,19.7,15.2
164.5,463.7,50182,34.5,13.4,39.4,17.4,12
180.9,466.4,45704,36.2,9,40.5,21.6,18.5
183.4,504.2,45409,38.5,8.7,42.7,22.9,17.8
181.6,520.5,52410,37.2,12,34.7,16.6,12
187.3,505.7,52597,36.3,12.2,37.9,17.9,11.1
194.2,526.9,49137,32.3,13.8,40.6,13.6,11.4
150.9,480.7,44148,34.5,13.1,40.7,22.5,16.5
177,500.8,49781,33.5,11.8,36.4,19.8,15.1
153.8,452.3,47547,26.2,20.1,43.4,31.8,23.4
173.6,470.1,47542,45.3,8.7,36.1,19.4,14.3
172,462.2,49920,33.7,13,32.9,15.8,14.7
174.2,505.4,51600,33.7,14.8,33.5,17.2,11.8
169.5,498.9,51371,25,20.3,34.5,18.5,14.2
170.1,511,40923,36.6,10.1,44.7,26.2,18.9
145.8,514.3,98312,24.2,23.7,25.3,11.3,6.7
145.2,463.9,75459,12.6,31.6,31.8,19.7,17.7
177.1,507.2,49274,35.1,13.6,37.1,16,13.4
173.9,501.5,48350,33.4,13.9,42.2,23.7,17.7
180.4,525.9,52892,26.2,19,34.4,17.7,16.1
162.9,484.6,58473,28.3,17.2,33.3,15.5,11.5
173.6,503.5,69228,29.3,17.2,31.1,17.9,13.4
184.2,495.9,46577,39.8,9.6,41.4,20.5,15.5
205,459.8,36891,35.2,8.4,37.5,20.2,21.9
181,477.1,54026,28.1,17.7,29.7,16.1,12.7
177.2,458.4,38130,27.6,17.5,32.9,16.2,23.5
184.9,459.8,50055,30.4,14.8,30.6,18.5,15.3
205.2,464.6,38928,31.2,8.1,46.1,22.6,22.2
182.2,462.5,46073,26.4,14.7,34.3,20.7,18.5
194,524.4,35991,31.8,8.8,45.3,24.7,22.1
165.7,460.5,49676,30.4,14.3,33.5,18.6,16
181.8,483.7,37881,36.9,9.4,42.3,23,17.6
161.4,440,37884,29.8,14.9,44.4,21.7,18.1
143.7,416.2,38445,31,12.9,40.4,21.9,19.9
177,491.5,35930,37.6,9.9,42.9,22.7,19.7
158.6,451,59049,19.1,28.4,24.6,15.4,15.2
180.9,450.3,36795,33.5,11,39.7,19.1,19.2
153.3,447.6,38530,30,10.6,40.7,25.2,21.1
160.3,483.6,51650,25.8,19.7,39.1,19.5,15.5
189,452.5,43348,33.9,13.6,37.6,21.3,18.2
164,442.6,49905,22.1,24.7,29.1,14.2,18
189.9,452.7,32063,35.9,7.2,48.4,27.2,25.8
179.9,477.5,47201,28.9,13.5,26.8,12.7,14.3
157.3,436.7,60304,15.6,25.4,20.2,10.1,14.1
151.3,499.4,43097,32.2,12.7,45.6,20.1,17.9
203.9,473.4,44596,29.9,12.3,36.1,19.5,18.8
169.8,463.5,45453,31.2,14,35.8,17.9,15.4
159.5,400,41328,35,12.3,46.5,22,17.1
198.1,477.8,45841,35.5,11.3,39.3,22.3,18.7
171.8,457.6,41765,25.2,19.1,28.9,17.5,23.4
156.1,423.9,45464,27.2,18.6,41.3,17.1,14.7
177.5,502.3,41770,35.1,10.6,34.2,21.1,16.7
205.3,490.6,34665,36.5,8.9,44.2,28.9,24.7
193,409.6,30414,33.5,9,45.1,32,33.1
194.3,520.3,39606,36.5,9.8,40.5,22.8,19.4
189.8,508.1,44973,32.8,12.3,38.8,23.1,18
174.8,443.9,35629,31.8,10.4,45.6,26.6,21.5
183.6,454.3,33876,33.2,9,43,25.6,29
189.6,487.8,32782,34,10.1,48.3,32.2,28.9
180.6,495.6,41921,34.3,11.4,36.2,19.7,16.5
184.5,460.9,45065,38.1,10.2,35.3,18.6,13.8
198.1,481.1,37915,31.1,10,39.8,21.5,18.9
215.3,516.6,34788,31.2,10.7,39.4,22.6,19.3
137,396.8,44490,28.4,17.4,41.9,17.1,16.2
222.3,431,32773,37.1,3.9,46.5,23,28.3
158.6,429.7,64381,25.2,24.1,23.1,12.3,10.8
198.5,490.4,33609,37.6,8.2,47.3,28.7,27
155.3,451.4,66950,16.8,31.2,20.9,11.3,11.5
185.4,447.7,33869,34.8,9.3,47.2,26.1,22.8
167.9,453.6,32867,38,6.1,46.9,26.7,26.8
136,414,41942,20.4,21.2,23.7,10.8,26.2
191.3,458.6,36890,29.7,13,40.2,23.3,23.3
183.5,441.2,33398,32.2,9.1,41.2,23,23.4
199.1,452.4,39268,33,12.6,39.4,23.2,23.9
179.7,449.1,40801,34.3,8.4,39.4,21.8,17.2
178.6,512.6,35974,33.2,12.9,42.3,22.7,20.6
140,405.2,45710,35.1,18.1,31.9,11.3,10.2
173.1,479.1,52376,31.3,19.4,27.5,8.9,10.3
169.9,462.9,39342,32.5,10.8,42.4,30.8,29.9
174.1,430.4,56965,31.3,16.4,26.9,8.9,9.7
209.3,472.9,60946,30,16.7,24.5,5.7,7.4
166.8,448.3,62875,30.8,14.1,22.4,6.2,8.3
141.6,438.9,66734,24.5,23.5,22.9,8.3,8.2
143.4,462.5,53755,20.6,25.8,21.1,8.8,11.3
170.7,406.8,54057,27.6,13.9,29.8,8.1,9
126,320.2,51817,28.7,20.5,25.7,8,11.7
93.8,330.6,67344,34.3,18.6,27.2,6,8.3
127.1,355.6,72018,34.3,15.4,28.2,14.4,9.5
227.6,532.1,47596,28.7,18.1,32.7,14.2,10.7
